Time,Position_X,Position_Y,Position_Z,Orientation_X,Orientation_Y,Orientation_Z,Orientation_W,Velocity_X,Velocity_Y,Velocity_Z,Angular_Velocity_X,Angular_Velocity_Y,Angular_Velocity_Z
24.749,0.016599480910634228,-0.011663317517255434,0.05506060628162068,0.025826219954194866,0.04991610162507632,0.2381887632597378,0.9695914099342202,0.21434636347838432,-0.12056280800514564,0.5149843294825466,0.16667339205741882,0.18102389574050903,-0.011196953244507335
24.846,0.04680206788429002,-0.02561644942102453,0.0658161559370941,0.02646270046186542,0.06016434872214744,0.3094518282090545,0.9486408923534655,0.4076492815061342,-0.16140867707329423,0.7360190294498471,0.11098390072584152,0.10228577256202698,-0.009059310890734208
24.946,0.0965738616617608,-0.042482330452631514,-0.10259534427215541,0.026433332293356777,0.06738479833236977,0.35597249689467086,0.93168886939372,0.6098478686833999,-0.17954620708250563,0.7899395033658597,0.08506637066602707,0.08402018994092941,-0.009285969659686099
25.046,0.17409659143521383,-0.06196633133481682,-0.3116895870825534,0.02618734966346718,0.07402980993526838,0.389103984326343,0.9178408899912427,0.839226600732003,-0.18222404549075094,0.7076274534651681,0.0754418820142746,0.077442966401577,-0.008481033146381387
25.147,0.4710939864738245,-0.565607589525262,-0.25621540217725675,0.025546585652450205,0.07909751879440345,0.4130256750531049,0.9069182687701236,0.8580414845790101,-0.9347450092260763,-0.22077123837818652,0.05351807177066803,0.07546539604663849,-0.005159796681255112
25.246,0.7408671434246883,-0.8756217535918138,-0.7319596628423122,0.024562184418541508,0.08351887050427052,0.4311630057651238,0.8980644519330804,0.1429122694287293,-0.15899897007338135,-0.06984770294955552,0.04141099750995636,0.060284532606601715,-0.006804835516959437
25.346,0.9363858724432469,-1.0931487349418412,-0.8858830171161772,0.02399698113485721,0.08620519750662622,0.4407669481589227,0.8931502148182726,0.07731943297345588,-0.08602277648082213,0.00012195828555911861,0.025527363643050194,0.040609218180179596,-0.007125305943191057
25.446,1.090703975859566,-1.2648374030384668,-1.1326185836251679,0.023262612373184798,0.08795145632290435,0.4489472679564594,0.8889149243829165,0.0529953577908244,-0.05896069904347583,0.00012523567827441855,0.01419629156589508,0.02134235017001629,-0.00399723928421736
25.546,1.212361396654518,-1.4023916356619393,-1.3807258676508591,0.021743454239054272,0.08871302095039983,0.4644634544795935,0.8808694123219915,0.029864626027471745,-0.034917593084196445,5.357835027527032e-05,-0.005310884676873684,0.005489784758538008,0.00039748445851728255
25.646,1.3047230374950818,-1.5103804563357104,-1.5003796388160502,0.01994836411242442,0.08918115726086245,0.4809201351403126,0.8719888804196272,0.024097829602902236,-0.028175079356834318,5.926054390654713e-05,0.000758017529733479,-0.00044234469532966614,0.0001955907500814647
25.75,1.3922887411524636,-1.6127618863168938,-1.7680450828553547,0.018326994799955046,0.08924046569256434,0.4946801212063846,0.8642868957862391,0.020197696854033612,-0.02361506081937597,7.676508186602478e-05,-0.009640727192163467,-0.001971061807125807,0.001270917244255543
25.846,1.4758065381130308,-1.7104105197038821,-1.9360169708567427,0.016820937987128727,0.08897073998756044,0.5068202312875304,0.8572832184458956,0.017384145711901916,-0.020325468851530415,9.070128789437998e-05,-0.00496282521635294,-0.005240862257778644,0.003873492823913694
25.946,1.5510808553752296,-1.798675602378745,-2.235501259994183,0.01572810776472784,0.08856009897092826,0.5160811752288417,0.8518039422724093,0.010051491680525179,-0.011995899188578307,3.798066083529289e-05,0.0033424890134483576,-0.01523759588599205,0.001454802812077107
26.047,1.6029196851337477,-1.8605423618536323,-2.5408373364808665,0.015077151554415552,0.08812823101562671,0.5233423685208847,0.8474189399051758,0.008956405296833553,-0.010688974178925201,5.793797194174093e-05,-0.010102920234203339,-0.005831404589116574,-0.003678959095850586
26.152,1.6536093353006172,-1.9210376381937784,-2.718145458920276,0.0143933354518916,0.08748426821862394,0.5296828011176283,0.8435493257119019,0.008076490633258075,-0.009638844712142273,7.096951111203729e-05,-0.009218914434313774,-0.014516741968691349,0.004294909536838533
26.247,1.7035129056326086,-1.980594770880936,-3.012992836510855,0.013579701772936374,0.08656215919701177,0.5358067897906729,0.8397819171124864,0.007354002693963082,-0.008776595330632504,9.051740750343219e-05,-0.02017481066286564,-0.01060567796230316,0.008147094398736955
26.348,1.7487263652423795,-2.034614872119759,-3.2298709156428593,0.012998896848219824,0.08565533298516517,0.5391705199495316,0.8377286810353824,0.004092781000251484,-0.004926278629396451,3.6062267322723644e-05,-0.012080774642527103,-0.016168635338544846,0.0008732498390600105
26.451,1.7781542916304178,-2.0700358001364925,-3.503170959766123,0.012379646030886447,0.08498737670840721,0.5431159579736722,0.8352538215169768,0.0037822211818466255,-0.004552473093142333,5.408633010277244e-05,-0.004436478950083256,-0.013862636871635914,-0.002090906957164405
26.546,1.8072034955239469,-2.1050008780529783,-3.681051742362101,0.011742246379428459,0.0844611676635692,0.54880094146402,0.8315924226777663,0.0035154678298402685,-0.004231395239907731,6.837985532760287e-05,-0.010796228423714638,-0.01442768145352602,0.0033093264792114514
26.646,1.8360008822677694,-2.1396628555770536,-3.9813642640924622,0.011476214704181836,0.08381034914219637,0.5510616793465754,0.8301657349159014,0.003283862809941767,-0.003952623700476043,8.729754697070851e-05,-0.009990906342864037,-0.009518146514892578,-0.001273580826818942
26.76,1.8647300667602476,-2.1748997585529013,-4.305427058038273,0.01090488635597777,0.08276697147982927,0.5537247002526077,0.8285044768833661,0.0015507317272465473,-0.002042273350933524,3.779178386184159e-05,-0.014380977489054203,-0.006808185484260321,0.001386687043122948
