Time,Position_X,Position_Y,Position_Z,Orientation_X,Orientation_Y,Orientation_Z,Orientation_W,Velocity_X,Velocity_Y,Velocity_Z,Angular_Velocity_X,Angular_Velocity_Y,Angular_Velocity_Z
9.241,-8.418161917521205e-05,-0.001969570119544657,-0.15983691188860666,-0.000110583598629458,0.0019040706381511193,0.36086952887659424,0.9326143605020554,0.006133056938662942,-0.012735172908168736,0.1344777360377038,0.003088532015681267,0.011854387819766998,-0.001287058694288136
9.241,-8.418161917521205e-05,-0.001969570119544657,-0.15983691188860666,-0.000110583598629458,0.0019040706381511193,0.36086952887659424,0.9326143605020554,0.006133056938662942,-0.012735172908168736,0.1344777360377038,0.003088532015681267,0.011854387819766998,-0.001287058694288136
9.341,0.0009036389502584529,-0.0034502913467485577,-0.3699195569889285,-0.00023976760375165967,0.0025359623415418804,0.44055590040450804,0.8977215659798263,0.01431606685364625,-0.01633989999149729,0.11200935499457493,0.004535063169896603,0.015890318900346756,-0.00450100749731064
9.442,0.002686874464122601,-0.005068642047184839,-0.6264445001205046,-0.00025051562466834264,0.0033628818904710154,0.49882627682205344,0.8666954331362088,0.023193323088670996,-0.01748943847208026,0.08716538440452073,0.018614016473293304,0.011894246563315392,-0.0005826814449392273
9.541,0.005819174456825558,-0.006790060032394123,-0.8240654542662212,-0.0003509125664725248,0.003860551374117894,0.5430420324548921,0.8396965666183934,0.03983398007954855,-0.01618029396084057,-0.041748736762171876,0.007739584892988205,0.009814215824007988,-0.0019973265007138265
9.645,0.010739491806514526,-0.00845475886642192,-1.00542322977806,-0.0006641948264940907,0.004087170712366923,0.578701844569743,0.815528680655915,0.052366807942547514,-0.01352801449880732,0.004109624903463423,-0.003502568695694208,0.004094250500202179,-0.0021229882258921866
9.742,0.015989438091750217,-0.009444611603882746,-1.2523690193545225,-0.0007388438902090426,0.004627658720968043,0.6065322902007134,0.7950450426411989,0.06162098483334503,-0.007904481147880709,-0.11076658570977624,0.01721353828907013,0.014560025185346603,-0.002715250244364144
9.846,0.021458770542893826,-0.009979866335007345,-1.3470228359781087,-0.0005940514676660361,0.005091780488865357,0.6233706929231196,0.7819096495624394,0.07366927161617012,-0.0041760230341071165,-0.07868128482218885,0.009805656969547272,0.010835452005267143,-0.000793510349467398
9.941,0.031418711536274894,-0.009948852077896543,-1.689950008037043,-0.000923586467435331,0.005808588073583414,0.6422443162171336,0.7664774266600517,0.09431569282096387,0.006658370691245229,-0.19432170806216256,0.0006257985951378942,0.012751800939440727,-0.0018026292091235534
10.043,0.04195104043787871,-0.008907761115657163,-1.975676867306946,-0.0012700144265199338,0.0059591672051774805,0.6533474640231257,0.7570336628209657,0.11344328838470912,0.015585766671026189,-0.2977807237634109,0.000960746081545949,0.009005227126181126,0.0011442045215517272
10.141,0.054009243945171675,-0.006805755077390572,-2.22796028508178,-0.0015625531425044466,0.006185535500694781,0.6608734904919072,0.7504702040343036,0.12836453559332825,0.026671976469462764,-0.35899179691602445,0.002968431916087866,0.005265022628009319,-0.002846278948709369
10.246,0.06774412756023965,-0.0034995033443415997,-2.4681024253522277,-0.0014698701488615037,0.006529165780095672,0.665967136049943,0.7459510595055137,0.14388418438329964,0.03919146446122716,-0.390164908489563,0.012468747794628143,0.009146212600171566,-0.00034417179995216543
10.341,0.08278087640050664,0.0010202825338684238,-2.673620108737167,-0.001444293246048411,0.0069317236957173525,0.669799742721154,0.7425080268079945,0.16078918052861005,0.05306419069556716,-0.36476748363033584,0.00464680977165699,0.015360201708972454,0.0014874625485390405
10.443,0.09979959501783026,0.006946793166834149,-2.985087911966366,-0.0016902422189234594,0.007369773683232833,0.6730469583331326,0.7395611005154461,0.17899720404667574,0.0676223543868527,-0.5178744096696843,-0.002625051187351346,0.012456987053155899,0.0041918335482478124
10.541,0.11926671390849358,0.014942518707201551,-3.26988149385899,-0.001726015968914676,0.007611228736680694,0.6751950345887197,0.7375979632108066,0.19808346699183882,0.08805206939059716,-0.5851403013470896,0.00392234418541193,-0.0007368116639554505,-0.0039034925866872072
10.642,0.13949630860289117,0.02412537188802302,-3.4683651402342703,-0.001794983024502771,0.0075115493662954195,0.6768088945409804,0.7361182479277874,0.21418823057215844,0.10045149612678182,-0.5632282481406073,-0.0034695426002144814,0.010466223582625389,0.00035955783096141983
10.755,0.15690808037050277,0.03247482567255941,-3.6807974073300165,-0.001894594913574256,0.007563073370664123,0.6771157628150176,0.7358352085750859,0.2272717733058048,0.11137990658421366,-0.6156863977753745,0.0030686280224472284,0.01041349396109581,0.003379698609933256
10.843,0.18041218414416527,0.044621329933322115,-3.9615643199827986,-0.002098993307657486,0.007818045682009167,0.6775036584755258,0.735474856906126,0.24292931180961438,0.13169765460387675,-0.6716313221258878,-0.005733547732234001,0.002478723879903555,0.0002837005304172632
10.943,0.21125527349483267,0.06182412610398634,-4.3171674138299325,-0.00203620599767934,0.00795942194174389,0.6780413096825721,0.7349778798245772,0.2627487527020645,0.14877405802489935,-0.7378196673841617,0.0070279669016599655,2.522394061088554e-05,-0.0006770715699531138
11.042,0.23864598870972428,0.0775400402466769,-4.539023105700571,-0.0021145953710214735,0.008169204471942321,0.678554278534628,0.7345017928276709,0.2789198623255506,0.16312643415808292,-0.7267840203312133,-0.0010375222191214561,0.005710301920771599,-7.297913543880056e-05
11.141,0.261100324268063,0.09091332197271436,-4.712821505688687,-0.0023661672143797993,0.008146575038271552,0.6783341820575962,0.7347045474339404,0.290456702233783,0.17606041003738124,-0.7161283736399018,-0.0008131233043968678,0.0038590501062572002,-0.0010655071819201116
