30.077000000 -0.00310 -0.00079 0.00006 -0.00437 0.03378 0.01682 0.99928
30.210000000 -0.00500 -0.00107 0.00014 0.00188 0.04010 0.01723 0.99905
30.342000000 -0.00574 -0.00137 0.00007 0.00199 0.04057 0.01905 0.99899
30.411000000 -0.00600 -0.00161 0.00004 0.00220 0.04067 0.02000 0.99897
30.511000000 -0.00950 -0.00250 -0.00007 0.04276 0.03733 0.01732 0.99824
30.610000000 -0.01403 -0.00257 0.00042 0.06208 0.03325 0.01861 0.99734
30.710000000 -0.01404 -0.00259 0.00038 0.06120 0.03355 0.01973 0.99737
30.811000000 -0.01509 -0.00278 0.00026 0.06136 0.03381 0.02112 0.99732
30.945000000 -0.01666 -0.00307 -0.00012 0.06151 0.03400 0.02291 0.99726
31.076000000 -0.01534 -0.00292 0.00046 0.06176 0.03466 0.02362 0.99721
31.176000000 -0.01626 -0.00312 0.00045 0.06127 0.03514 0.02501 0.99719
31.276000000 -0.01690 -0.00312 0.00051 0.06099 0.03460 0.02501 0.99722
31.377000000 -0.01520 -0.00279 0.00048 0.06086 0.03541 0.02575 0.99719
31.510000000 -0.01557 -0.00297 0.00050 0.06189 0.03664 0.02723 0.99704
31.611000000 -0.01595 -0.00361 0.00069 0.06201 0.03683 0.02831 0.99699
31.710000000 -0.01913 -0.00373 0.00054 0.06237 0.03614 0.02933 0.99697
31.811000000 -0.01881 -0.00365 0.00051 0.06211 0.03596 0.03012 0.99697
31.910000000 -0.01728 -0.00341 0.00049 0.06207 0.03648 0.03123 0.99692
32.011000000 -0.01815 -0.00349 0.00029 0.06220 0.03668 0.03232 0.99687
32.110000000 -0.01929 -0.00375 0.00052 0.06196 0.03587 0.03196 0.99692
32.210000000 -0.01923 -0.00374 0.00052 0.06203 0.03645 0.03261 0.99688
32.343000000 -0.01863 -0.00364 0.00052 0.06232 0.03734 0.03284 0.99682
32.476000000 -0.01860 -0.00378 0.00052 0.06294 0.03754 0.03489 0.99670
32.544000000 -0.02021 -0.00412 0.00055 0.06225 0.03669 0.03604 0.99673
